run_accession,sample_accession,experiment_accession,study_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,bam_ftp
ERR1797972,SAMEA50751418,ERX1861510,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1797972/ERR1797972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/002/ERR1797972/ERR1797972_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797972/2156N0004_ACTTGA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797972/2156N0004_ACTTGA_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/002/ERR1797972,
ERR1800789,SAMEA52153918,ERX1864330,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1800789/ERR1800789.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800789/Tn-Seq_BHI-3.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/009/ERR1800789,
ERR1800790,SAMEA52154668,ERX1864331,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1800790/ERR1800790.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800790/Tn-Seq_BHI-4.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/000/ERR1800790,
ERR1800794,SAMEA52157668,ERX1864335,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1800794/ERR1800794.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800794/Tn-Seq_BHI-8.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/004/ERR1800794,
ERR1801008,SAMEA52286668,ERX1864554,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1801008/ERR1801008.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801008/Tn-Seq_Serum-3.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/008/ERR1801008,
ERR1797970,SAMEA50749918,ERX1861508,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1797970/ERR1797970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/000/ERR1797970/ERR1797970_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797970/2156N0002_TGACCA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797970/2156N0002_TGACCA_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/000/ERR1797970,
ERR1797971,SAMEA50750668,ERX1861509,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1797971/ERR1797971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/001/ERR1797971/ERR1797971_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797971/2156N0003_ACAGTG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797971/2156N0003_ACAGTG_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/001/ERR1797971,
ERR1797974,SAMEA50752918,ERX1861512,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1797974/ERR1797974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/004/ERR1797974/ERR1797974_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797974/2156N0006_GGCTAC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797974/2156N0006_GGCTAC_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/004/ERR1797974,
ERR1800792,SAMEA52156168,ERX1864333,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1800792/ERR1800792.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800792/Tn-Seq_BHI-6.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/002/ERR1800792,
ERR1800793,SAMEA52156918,ERX1864334,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1800793/ERR1800793.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800793/Tn-Seq_BHI-7.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/003/ERR1800793,
ERR1801009,SAMEA52288168,ERX1864555,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1801009/ERR1801009.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801009/Tn-Seq_HISerum-1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/009/ERR1801009,
ERR1801011,SAMEA52291168,ERX1864557,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1801011/ERR1801011.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801011/Tn-Seq_HISerum-3.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/001/ERR1801011,
ERR1801012,SAMEA52291918,ERX1864558,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1801012/ERR1801012.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801012/Tn-Seq_BHI-1.1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/002/ERR1801012,
ERR1801014,SAMEA52294918,ERX1864560,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1801014/ERR1801014.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801014/Tn-Seq_BHI-3.1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/004/ERR1801014,
ERR1797969,SAMEA50749168,ERX1861507,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1797969/ERR1797969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/009/ERR1797969/ERR1797969_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797969/2156N0001_ATCACG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797969/2156N0001_ATCACG_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/009/ERR1797969,
ERR1797973,SAMEA50752168,ERX1861511,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1797973/ERR1797973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR179/003/ERR1797973/ERR1797973_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797973/2156N0005_TAGCTT_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR179/ERR1797973/2156N0005_TAGCTT_L002_R2_001.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR179/003/ERR1797973,
ERR1800787,SAMEA52152418,ERX1864328,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1800787/ERR1800787.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800787/Tn-Seq_BHI-1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/007/ERR1800787,
ERR1800788,SAMEA52153168,ERX1864329,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1800788/ERR1800788.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800788/Tn-Seq_BHI-2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/008/ERR1800788,
ERR1800791,SAMEA52155418,ERX1864332,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1800791/ERR1800791.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800791/Tn-Seq_BHI-5.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/001/ERR1800791,
ERR1800795,SAMEA52158418,ERX1864336,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1800795/ERR1800795.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800795/Tn-Seq_BHI-9.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/005/ERR1800795,
ERR1800796,SAMEA52159168,ERX1864337,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1800796/ERR1800796.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1800796/Tn-Seq_BHI-10.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/006/ERR1800796,
ERR1801006,SAMEA52283668,ERX1864552,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1801006/ERR1801006.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801006/Tn-Seq_Serum-1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/006/ERR1801006,
ERR1801007,SAMEA52285168,ERX1864553,PRJEB19025,1352,Enterococcus faecium,ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1801007/ERR1801007.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1801007/Tn-Seq_Serum-2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR180/007/ERR1801007,
